,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
449,"(1903-10-28)28 October 1903Bessarabia, Russian Empire","27 October 1982(1982-10-27) (aged 78)Tallahassee, Florida, United States",,,Abba_Lerner,,,,Economics,Post-Keynesian economics,London School of Economics,,,"Friedrich Hayek, John Maynard Keynes, Paul Samuelson, Oskar R. Lange",,Moldovan-British-American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450," (1947-04-07) April 7, 1947 (age 73)San Francisco, California, U.S.",,,,Richard_Levin,,Jane Levin,,,,,,,,,,,,Howard R. Lamar,"Stanford University (BA)Merton College, Oxford (BL)Yale University (PhD)",Economist,yale.edu/opa/president,,,,,,Peter Salovey,,,,,,,,"4, including Jonathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,David Knudsen Levinec. 1955 (age 64–65),,,,David_K._Levine,,,European University InstituteWashington University in St. Louis,"Game theory, General equilibrium Theory",,"UCLA, MIT",Peter Diamond[1],Guido Tabellini,,,American,"Learning in games, Folk theorem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452," (1967-05-29) May 29, 1967 (age 53)New Orleans, Louisiana, U.S.",,,,Steven_D._Levitt,,,University of Chicago,Social economicsApplied Microeconomics,Chicago School of Economics,Harvard University (AB)Massachusetts Institute of Technology (PhD),James M. Poterba[1],Brian Jacob,Gary BeckerJames HeckmanRobert Nozick,John Bates Clark Medal (2003),American,"Freakonomics, SuperFreakonomics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,c. 1956 (age 63–64),,,,Arthur_Lewbel,,,Boston College,Applied microeconomics and econometrics,,Massachusetts Institute of Technology,,,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"William Arthur Lewis(1915-01-23)23 January 1915Castries, Saint Lucia, British Windward Islands","15 June 1991(1991-06-15) (aged 76)Saint Michael, Barbados",,,Arthur_Lewis_(economist),,Gladys Jacobs Lewis (m. 1947),,,,London School of Economics,,,,Nobel Memorial Prize in Economic Sciences (1979),Saint LuciaBritish,,Development economicsDual-sector modelLewis turning pointIndustrial structureHistory of the world economy,,,,,London School of Economics (1938–48)University of Manchester (1948–58)University of West Indies (1959–63)  Princeton University (1963–91),Economics,,The economics of loyalty contracts (1940),,,,,,Sir Arnold Plant,,,,2[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,Tracy_R._Lewis,,,,,,,,,,,United States,,Co-authoring the Brander-Lewis Model,,,,,Duke University,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456," (1975-05-12) May 12, 1975 (age 45)Canada",,,,Kevin_Leyton-Brown,,,,,,Stanford University,,,,NSERC E.W.R. Steacie Memorial Fellowship,,,,,,,,University of British Columbia,Computer Science,,,,,,,,Yoav Shoham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457," (1952-10-15) October 15, 1952 (age 67)Yilan County, Taiwan",,,,Justin_Yifu_Lin,,,World BankPeking University,Political economy,,Republic of China Military Academy (Infantry) National Chengchi University (MA)Peking University (MA) University of Chicago (PhD),D. Gale JohnsonTheodore SchultzSherwin Rosen,,,,ChinesePRC from 1979ROC until 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458," (1962-04-23) April 23, 1962 (age 58)Austin, Texas, U.S.",,"Writer, academic",,Michael_Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Texas at Austin (BA)Yale University (MA)University of Texas Law School (JD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,(1891-11-21)21 November 1891Stockholm,6 January 1960(1960-01-06) (aged 68)Uppsala,,,Erik_Lindahl,,,,Political economics,Stockholm School,Lund University,,,Knut Wicksell,,Swedish,Lindahl equilibrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460," (1930-01-26) 26 January 1930 (age 90)Umeå, Sweden",,,,Assar_Lindbeck,,,,Economics,Stockholm School,,,,,,Swedish,Insider-outsider theory of employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,"(1789-08-06)6 August 1789Reutlingen, Duchy of Württemberg, Holy Roman Empire","30 November 1846(1846-11-30) (aged 57)Kufstein, County of Tyrol, Austrian Empire",,,Friedrich_List,,,,Economics,Historical School,,,,Jean-Antoine Chaptal · Alexander Hamilton · Daniel Raymond · Adolphe Thiers,,"German, American",National System of InnovationFounded the historical school of economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462," (1968-09-25) September 25, 1968 (age 51)Madison, Wisconsin",,,,John_A._List,,Dana L. Suskind (m. 2018),University of Chicago,Economics,,University of WyomingUniversity of Wisconsin–Stevens Point,Shelby Gerking,,Vernon SmithGary Becker,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,1960 (age 59–60)[1]Hong Kong[2],,,,Andrew_Lo,,,,,,Yale UniversityHarvard University,,,,American Association for Individual Investors Award Graham and Dodd Award,,,,,,,http://alo.mit.edu,,,,Essays in Financial and Quantitative Economics (1984),,,,,,Andrew AbelJerry A. Hausman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,"29 August 1632Wrington, Somerset, England","28 October 1704 (aged 72)High Laver, Essex, England",,,John_Locke,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,"Christ Church, Oxford",,,,,,,,17th-century philosophy,Western philosophy,"
Empiricism
Foundationalism[1]
Conceptualism[2]
Indirect realism[3]
Correspondence theory of truth[4]
Ideational theory of meaning[5]
Corpuscularianism[6]
Social contract
Natural law
Liberalism
",,"Metaphysics, epistemology, political philosophy, philosophy of mind, philosophy of education, economics","
Consciousness
Consent of the governed
Labor theory of property
Law of opinion
Lockean proviso
Molyneux's problem
Argument from ignorance[7][8]
Natural rights (rights of life, liberty and property)[9]
Primary/secondary quality distinction
Semeiotike (the doctrine of signs)
Social contract
Sortal
State of nature
Tabula rasa
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,"1794Bradenham, Buckinghamshire, England","2 June 1852Prestwood, Missenden, Buckinghamshire, England",Economist,,William_Forster_Lloyd,,,,,,"Christ Church, Oxford",,,,,,,,,,,,,,,,,,,,,,,,,,Westminster School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,"Bernard Joseph Francis Lonergan(1904-12-17)17 December 1904Buckingham, Quebec, Canada","26 November 1984(1984-11-26) (aged 79)Pickering, Ontario, Canada",,,Bernard_Lonergan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1962,,,,Fr%C3%A9d%C3%A9ric_Lordon,,,"EHESS, France",,,,,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,"Max Otto Lorenz(1876-09-19)September 19, 1876Burlington, Iowa","July 1, 1959(1959-07-01) (aged 82)Sunnyvale, California",,,Max_O._Lorenz,,,,,,University of Wisconsin–MadisonUniversity of Iowa,Balthasar H. Meyer,,,,American,Lorenz curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,"April 30, 1960Clichy",,Economist and geopolitician,,Pascal_Lorot,,,,,,,,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,"John Richard Lott Jr. (1958-05-08) May 8, 1958 (age 62)",,,,John_Lott,,,,Economics,,"University of California, Los Angeles (BA, MA, PhD)",,,,,,,,,,,http://johnrlott.blogspot.com/,"University of ChicagoYale UniversityThe Wharton SchoolUniversity of Maryland, College ParkAmerican Enterprise Institute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471," (1937-09-15) September 15, 1937 (age 82)Yakima, Washington, U.S.",,,,"Robert_Lucas,_Jr.",,,Carnegie Mellon UniversityUniversity of Chicago,Macroeconomics,New classical macroeconomics,"University of Chicago (BA, MA, PhD)",H. Gregg LewisDale W. Jorgenson,Marcel BoyerCostas AzariadisJean-Pierre DanthineBoyan JovanovicPaul Romer,,Nobel Memorial Prize in Economic Sciences (1995),American,Rational expectationsLucas critique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472," (1957-02-28) February 28, 1957 (age 63)Chicago, Illinois",,,,Stephen_J._Luczo,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seagate,,,,,,,,,,,Chairman of the Board of Directors,incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alan Shugart,Seagate TechnologyAT&TMorgan StanleyLucile Packard Children’s Hospital Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,"Rozalia Luksenburg(1871-03-05)5 March 1871Zamość, Congress Poland, Russian Empire","15 January 1919(1919-01-15) (aged 47)Berlin, Weimar Republic",EconomistPhilosopherRevolutionary,,Rosa_Luxemburg,German,Gustav Lübeck,,,,"University of Zurich(Dr. jur., 1897)",,,,,Polish,,,,,,,,,,,,,"
Proletariat Party(1882–1886)
Social Democracy of the Kingdom of Poland and Lithuania(1893–1918)
Social Democratic Party of Germany(1898–1915)
Independent Social Democratic Party of Germany(1917–1918)
Spartacus League(1915–1918)
Communist Party of Germany(1919)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Execution,,,,,,,,,,,,,,,Leo JogichesKostja Zetkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,"Gerard Patrick Lyons (1961-03-31) 31 March 1961 (age 59)Marylebone, London, England[1]",,,,Gerard_Lyons,,,,Political economyInternational economicsFinancial economics,New Keynesian economics,"University of Liverpool (BSc)University of Warwick (MA)Queen Mary, University of London (PhD)",,,,,British,,,,,,www.drgerardlyons.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,"Maria Gloria Macaraeg Macapagal (1947-04-05) April 5, 1947 (age 73)Lubao, Pampanga, Philippines",,,,Gloria_Macapagal-Arroyo,,Jose Miguel Arroyo (m. 1968),,,,,,,,,,,,Mikey Arroyo,,,Official website,,,,,,Mikey Arroyo,LDP (before 1998)KAMPI (1997–2009)Lakas-CMD I (1998–2009)Lakas-CMD II (2009–2017)PDP–Laban[1] (2017–2020)Lakas–CMD[2] (2020–present),,,,,,,"3, including Mikey and Dato",Georgetown UniversityAssumption College San Lorenzo (BA)Ateneo de Manila University (MA)University of the Philippines Diliman (PhD),,,,,,,Joseph Estrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teofisto Guingona (2001–2004)Noli de Castro (2004–2010),,,,,,Pantaleon Alvarez,₱ 479.5 million (Dec 2018)[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476," (1954-10-27) October 27, 1954 (age 65)",,,,Mark_J._Machina,United States,,"University of California, San Diego",,,MITMichigan State University,Franklin M. Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,"Carlos Manuel Urzúa Macías (1955-06-09) 9 June 1955 (age 64)Aguascalientes, Aguascalientes, Mexico",,,,Carlos_Manuel_Urz%C3%BAa_Mac%C3%ADas,,,,,,,,,,,,,,José Antonio González Anaya,,,,,,,,,Arturo Herrera Gutiérrez,,,,,,,,,"Monterrey Institute of Technology and Higher Education (BA)National Polytechnic Institute (MA)University of Wisconsin, Madison (PhD)",,,,,,,Andrés Manuel López Obrador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,"Adil Abdul-Mahdi al-Muntafiki (1942-01-01) 1 January 1942 (age 78)Baghdad, Iraq",,,,Adil_Abdul-Mahdi,,Rajah,,,,,,,,,,,,Kamel al-Kilani,"University of Baghdad (BA)University of Poitiers (MA, PhD)",,,,,,,Ayad Allawi,Ali Allawi,Independent (since 2017)[2]SIIC (1982–2017)[3]Iraqi Communist (1970s)[4],,,,,Thamir GhadhbanFuad Hussein,,,,,,,,,,Jalal Talabani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,"(1923-04-25)25 April 1923Limoges, France","7 March 2015(2015-03-07) (aged 91)Paris, France",,,Edmond_Malinvaud,,,Collège de France,Macroeconomics,Walrasian economics,Ecole Polytechnique,,,Léon WalrasMaurice Allais,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,"13/14 February 1766Westcott, Surrey, England","23 December 1834(1834-12-23) (aged 68)Bath, Somerset, England",,,Thomas_Malthus,,,,"Demography, macroeconomics",Classical economics,"Jesus College, Cambridge",,,David Ricardo  Jean Charles Léonard de Sismondi,,British,Malthusian growth model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,"Nicholas Gregory Mankiw (1958-02-03) February 3, 1958 (age 62)Trenton, New Jersey, U.S.",,,,N._Gregory_Mankiw,,Deb Roloff,,Macroeconomics,New Keynesian economics[1],,Stanley Fischer[2],Miles KimballXavier Sala-i-Martin[3]Karen DynanJason FurmanRicardo Reis,,,,,,Glenn Hubbard,,,,,,,,,Harvey Rosen,Republican (Before 2019)Independent (2019–present),,,,,,,,"Princeton University (AB)Massachusetts Institute of Technology (MA, PhD)Harvard University",,,,,,,George W. Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482," (1948-11-27) November 27, 1948 (age 71)",,,,Charles_Manski,United States,,Northwestern UniversityUniversity of Wisconsin-MadisonHebrew University of JerusalemCarnegie-Mellon University,Econometrics,,Massachusetts Institute of TechnologyBoston Latin School,Franklin M. Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483," (1929-01-14) January 14, 1929 (age 91)Nanjing",,,,Mao_Yushi,,,,,,Tianjin Nankai High SchoolShanghai Jiao Tong University,,,,Milton Friedman Liberty Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mao Yisheng (uncle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,"Harry Max Markowitz (1927-08-24) August 24, 1927 (age 92)Chicago, Illinois, U.S.",,,,Harry_Markowitz,,,"Harry Markowitz CompanyRady School of Management at the University of California, San DiegoBaruch CollegeRAND CorporationCowles Commission",Financial economics,Chicago School of Economics,,Milton FriedmanJacob Marschak,,Tjalling KoopmansLeonard Savage,John von Neumann Theory Prize (1989)The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel (1990),American,Modern portfolio theoryEfficient frontierSparse matrix methodsSIMSCRIPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,"(1898-07-23)23 July 1898Kiev, Russian Empire","27 July 1977(1977-07-27) (aged 79)Los Angeles, U.S.",,,Jacob_Marschak,,,,,,University of Heidelberg,,,,,American,,Elasticity of demandEarly econometricsChoice under uncertainty,,,,,Cowles CommissionUniversity of Chicago,Economics,,,,,,,,Emil Lederer,Leonid HurwiczHarry MarkowitzFranco Modigliani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,"(1842-07-26)26 July 1842London, England","13 July 1924(1924-07-13) (aged 81)Cambridge, England",,,Alfred_Marshall,,,"St John's College, CambridgeUniversity College, BristolBalliol College, Oxford",,Neoclassical economics,"St John's College, Cambridge",,,"Léon Walras, Vilfredo Pareto, Jules Dupuit, Stanley Jevons, Henry Sidgwick",,British,Founder of neoclassical economicsPrinciples of Economics (1890)Marshallian scissorsInternal and external economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,,"Economist, Venture Capitalist and Financial Engineering Executive",,Marsh_Marshall,,,,,,,,,,,American,,,,,,,,,,,,,,,,,,,,,"Tufts University, Stanford University, Oxford University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488," (1962-06-17) June 17, 1962 (age 57)Cabrera de Mar, Catalonia, Spain",,,,Xavier_Sala-i-Martin,,,,Macroeconomics,Neo-classical economics,,Robert J. Barro[1]N. Gregory Mankiw[1],,,,Catalan American,Economic growthLibertarianism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,"(1802-06-12)12 June 1802Norwich, Norfolk, England","27 June 1876(1876-06-27) (aged 74)Ambleside, Westmorland, England",,,Harriet_Martineau,,,,,,,,,,,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illustrations of Political Economy (1834)Society in America (1837)Deerbrook (1839)The Hour and the Man (1839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,"Karl Heinrich Marx(1818-05-05)5 May 1818Trier, Prussia, German Confederation","14 March 1883(1883-03-14) (aged 64)London, England
",,,Karl_Marx,,Jenny von Westphalen(m. 1843; died 1881),,,,University of BonnUniversity of BerlinUniversity of Jena (PhD)[2],,,,,Prussian (1818–1845)Stateless (after 1845),,,,,,,,,,,,,,,,,,,,"7, including Jenny, Laura, and Eleanor",,,,,,,,,19th-century philosophy,Western philosophy,Dialectical materialismHistorical materialismMarxism,,"Philosophy, economics, history, politics","Marxist terminology, surplus value, contributions to the labour theory of value, class conflict, alienation and exploitation of the worker, materialist conception of history",,,,,,,,,,,,,,,,,,,,Heinrich Marx (father)Henriette Pressburg (mother),,,,,,,,,,,Louise Juta (sister)Jean Longuet (grandson),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
